"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",1001576.07463291,156245867.642735,0.807859788437946,1001576.07463291,0.799486019290167,156245867.642735,0.807859788437946,1001576.07463291,0.799486019290167,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",0.0327671876313971,6551074.64100322,0.0338719343645192,41994.0682115591,0.0335208390841047,6551074.64100322,0.0338719343645192,41994.0682115591,0.0335208390841047,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.0224073898395601,-2175.75494724632,-1.12496090801859e-05,-13.9471470977328,-1.11330026705236e-05,-2175.75494724632,-1.12496090801859e-05,-13.9471470977328,-1.11330026705236e-05,FALSE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.00517976018195988,-32213.8224196346,-0.000166559616310683,-1073.79408065449,-0.000857132450367729,-32213.8224196346,-0.000166559616310683,-1073.79408065449,-0.000857132450367729,FALSE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","Avg_Sales_Price",800.993316324212,14975371.9638835,0.0774292530678971,95995.9741274582,0.0766266698724528,14975371.9638835,0.0774292530678971,95995.9741274582,0.0766266698724528,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"6","Total_Organic_Impressions_On_AMA",0.0368510453797597,4619295.34242957,0.0238837865882021,40520.1345827155,0.0323443040614865,4619295.34242957,0.0238837865882021,40520.1345827155,0.0323443040614865,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"7","dsp_Ad_Spend",59064.5059578213,3305688.41845414,0.0170918616067368,21190.310374706,0.0169146980624572,3305688.41845414,0.0170918616067368,21190.310374706,0.0169146980624572,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,7091984.95,45461.4419871795,53183.080572618,7721.63858543849,25837.6041595344,0.309502395347991,0.299158938197236,0.568341060690967,0.466116107374726,2.14538820731219,4,FALSE,1.15129037243888,0.101589137415127,0.426250714932277,1.87970053536256,0.147371521832845
"8","sb_Ad_Spend",133670.212074431,1512799.47326871,0.0078218379843387,9697.43252095328,0.00774076170534872,1512799.47326871,0.0078218379843387,9697.43252095328,0.00774076170534872,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,3441461.47,22060.6504487179,23451.1942676221,1390.54381890418,5149.06138288273,0.150189344164192,0.13690566890755,0.233404785359897,0.439580534739711,2.27489599964232,4,FALSE,1.43499636670428,0.152603084701426,0.337264519402444,2.52057792967427,0.00698863546447194
"9","sd_Ad_Spend",79374.7565358676,467816.910245552,0.00241881897960224,2998.8263477279,0.00239374701533896,467816.910245552,0.00241881897960224,2998.8263477279,0.00239374701533896,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,872405.49,5592.34288461538,5913.36330432591,321.020419710529,700.869125083551,0.0380727808608417,0.0423366005575375,0.125326565188206,0.536237925606763,1.86484385428069,4,FALSE,1.64220981614019,0.195925610647918,0.237852062296621,3.04098683496678,0.00299094445339554
"10","sp_Ad_Spend",98949.1318794705,4941865.33908335,0.02555161520463,31678.623968483,0.0252867631472077,4941865.33908335,0.02555161520463,31678.623968483,0.0252867631472077,TRUE,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,"1_131_1",1,131,1,131,3,10385532.46,66573.926025641,73176.4947366238,6602.56871098274,35530.9833058571,0.453236603855781,0.447230047242399,0.533707194798341,0.475841306944733,2.10154096629561,4,FALSE,1.34927940622849,0.100206013496485,0.629106108418283,2.06276738390829,0.0360573817096787
