"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","dsp_Ad_Spend","sb_Ad_Spend","sd_Ad_Spend","sp_Ad_Spend","internetDisplay_Ad_Spend","mobileWeb_Ad_Spend","avod_Ad_Spend","onlineVideo_Ad_Spend","mobileWebVideo_Ad_Spend","cluster","top_sol"
"1","1_131_1",0,0.0310146308112074,0.14980315589528,NA,0.14980315589528,0.221397858692194,0,0.0579796337249441,0,0.0100540406449887,0.0911362989412955,0,1,0,4,FALSE
"2","1_328_1",0,0.0601463669856732,0.0939439849209978,NA,0.0939439849209978,0.888873619650855,0.572845537021009,0.309882001077625,0.762915759710517,0,0.658345040755282,0.442238979450177,0,0.395835072204347,2,FALSE
"3","1_384_1",0,0.341572149689081,0.0804579908687566,NA,0.0804579908687566,0.130620589348279,0.801652947375408,0.316907724032039,0.896167512839364,0.048882004726035,0.398994531472821,0.893212392954234,0,0.407571322305009,1,TRUE
"4","1_425_1",0,0.0325350817941557,0.119054979182392,NA,0.119054979182392,0.722758095609709,0.314250852946466,0.287734218908578,0.447034834146809,0.0267069128830513,0.241910086481062,0.196043197777016,0,0.229278159468646,4,FALSE
"5","1_459_1",0,0.446083838416646,0.0721592891195574,NA,0.0721592891195574,0,1,0.159119183492436,0.649297472805434,0.123149382234663,0.521569550000182,1,0,0.621961716735641,1,FALSE
"6","1_478_1",0,0.0456898774898228,0.0954037109967302,NA,0.0954037109967302,0.987899701368809,0.491737558457945,0.385303839529053,0.709870471372532,0,0.426443103138286,0.509004838451036,0,0.326331437766888,2,FALSE
"7","1_508_1",0,0.0489603346993672,0.0954586483143464,NA,0.0954586483143464,0.980869150626745,0.49072983558717,0.384309908963502,0.707812071313611,0,0.601277636501162,0.510499376044966,0,0.311277400536049,2,FALSE
"8","1_538_1",0,0.0526709824459017,0.0954784728814066,NA,0.0954784728814066,0.975041430396856,0.490266075947687,0.382482071267723,0.706502160395746,0,0.747832729870595,0.511547562827057,0,0.318841983284648,2,FALSE
"9","1_543_1",0,0.0247411437810302,0.119934253776265,NA,0.119934253776265,0.625833710987771,0.244837940015112,0.151500246337681,0.384144504366274,0.0326200419077637,0.175908600618518,0.184515314287079,0,0.26753249805945,4,FALSE
"10","1_568_1",0,0.0429617537163197,0.095500746600239,NA,0.095500746600239,0.99595476147534,0.491383306241588,0.385210104002273,0.713154393834979,0,0.188749377935232,0.506062597633824,0,0.263589711161912,2,FALSE
"11","1_603_1",0,0.0247005691896127,0.119935309365026,NA,0.119935309365026,0.625852434087371,0.244823512514254,0.151510725468382,0.384153941039482,0.0326272290722955,0.176048034328476,0.184502966913238,0,0.263446008048202,4,FALSE
"12","1_629_1",0,0.0726626563108181,0.0928024127130078,NA,0.0928024127130078,0.90106931611521,0.502885252380499,0.515570058694017,0.755392191199943,0.260406084788367,0.325294349538581,0.626782550840583,0,0.441561489098754,2,FALSE
"13","1_658_1",0,0.0454547064870568,0.0954048537263596,NA,0.0954048537263596,0.988470468922605,0.491629499126813,0.385493896309868,0.710092132544313,0,0.420527236769057,0.508637968792735,0,0.309990327231989,2,FALSE
"14","1_663_1",0,0.0318233142096742,0.119814233571094,NA,0.119814233571094,0.627199215717075,0.217117215300624,0.150513768164443,0.384835499383513,0.0346791576574053,0.176772504255571,0.183562688243935,0,0.267534325204118,4,FALSE
"15","1_688_1",0,0.03717510460877,0.0955443554374291,NA,0.0955443554374291,0.994765364422136,0.499101308746935,0.26326014999161,0.715208253980951,0,0.423268551864841,0.506287957844807,0,0.334279906025078,2,FALSE
