"","avod_Ad_Spend_alphas","avod_Ad_Spend_gammas","avod_Ad_Spend_thetas","dsp_Ad_Spend_alphas","dsp_Ad_Spend_gammas","dsp_Ad_Spend_thetas","internetDisplay_Ad_Spend_alphas","internetDisplay_Ad_Spend_gammas","internetDisplay_Ad_Spend_thetas","mobileWeb_Ad_Spend_alphas","mobileWeb_Ad_Spend_gammas","mobileWeb_Ad_Spend_thetas","mobileWebVideo_Ad_Spend_alphas","mobileWebVideo_Ad_Spend_gammas","mobileWebVideo_Ad_Spend_thetas","onlineVideo_Ad_Spend_alphas","onlineVideo_Ad_Spend_gammas","onlineVideo_Ad_Spend_thetas","sb_Ad_Spend_alphas","sb_Ad_Spend_gammas","sb_Ad_Spend_thetas","sd_Ad_Spend_alphas","sd_Ad_Spend_gammas","sd_Ad_Spend_thetas","sp_Ad_Spend_alphas","sp_Ad_Spend_gammas","sp_Ad_Spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.3457725,0.4483636,0.01943964,1.02998,0.35625697,0.0861429,1.89598,0.7798899,0.1547421,1.6574425,0.6171343,0.2730147,1.0981225,0.5757482,0.1234281,1.92629,0.3828758,0.2885256,2.3648125,0.767705,0.1046958,2.704745,0.7122048,0.0963318,1.4131425,0.5473975,0.0626466,1,0.107070647084151,NA,NA,0.14980315589528,NA,NA,0.14980315589528,0.0310146308112074,0,19469563.2528089,0.303184,64202232.1050987,1e-04,0,0.0885069370269775,13.5642840862274,"1_131_1",1,131,1,131,FALSE,TRUE,3,0.297036893707221,4,FALSE
"2",2.0494575,0.8170074,0.1279512,0.56637675,0.597416,0.0893025,2.0963075,0.9548983,0.1511169,1.598585,0.3749658,0.2586423,0.9794375,0.5863119,0.1802175,1.9506425,0.7733617,0.2300124,2.3263875,0.6850987,0.046767,2.504625,0.6905594,0.0608952,1.71453,0.33537261,0.1288923,1,0.648833458456411,NA,NA,0.0939439849209978,NA,NA,0.0939439849209978,0.0601463669856732,0,1604645.57540319,0.0248961,64202232.1050987,1e-04,0,0.0866842269897461,35.9356076717377,"1_328_1",1,328,1,328,TRUE,TRUE,2,0.10762423379841,2,FALSE
"3",1.0877675,0.7968656,0.01521339,1.2789225,0.35781195,0.0315561,1.0099975,0.720973,0.2763537,2.956195,0.8275137,0.01278282,1.42521,0.4649697,0.1185111,1.8422275,0.33794126,0.280377,2.272725,0.757401,0.052488,2.3348475,0.7052398,0.0680337,1.676355,0.36538861,0.1569951,1,0.740757356455146,NA,NA,0.0804579908687566,NA,NA,0.0804579908687566,0.341572149689081,0,1199910.24023145,0.0185914,64202232.1050987,1e-04,0,0.088939905166626,41.7210502624512,"1_384_1",1,384,1,384,TRUE,TRUE,3,0.104549418941895,1,TRUE
"4",2.4269475,0.7831603,0.1354989,0.66534225,0.553659,0.1554933,1.6683525,0.8699666,0.2116917,2.720615,0.31609755,0.0983313,1.7213175,0.3974267,0.2929791,1.774445,0.7380404,0.2339121,2.1602,0.7071508,0.01030824,2.125865,0.6869936,0.1160001,1.5189175,0.3702436,0.0794805,1,0.436011431952935,NA,NA,0.119054979182392,NA,NA,0.119054979182392,0.0325350817941557,0,4409572.44270209,0.0685894,64202232.1050987,1e-04,0,0.082550048828125,45.9371991157532,"1_425_1",1,425,1,425,TRUE,TRUE,3,0.192552560880441,4,FALSE
"5",1.11715,0.7547872,0.0835548,0.56321675,0.5424443,0.1060533,0.74586825,0.7466196,0.2474307,2.95046,0.7611446,0.1377189,0.5206747,0.728631,0.2300583,2.53135,0.4152823,0.2703915,2.2278775,0.8031558,0.0843405,1.2261925,0.6246341,0.1630848,1.3372125,0.31291304,0.1123329,1,0.791477671212257,NA,NA,0.0721592891195574,NA,NA,0.0721592891195574,0.446083838416646,0,409904.382008672,0.00628521,64202232.1050987,1e-04,0,0.0823941230773926,49.5122923851013,"1_459_1",1,459,1,459,TRUE,TRUE,3,0.117339498997368,1,FALSE
"6",1.633215,0.8090029,0.1135878,0.509895325,0.6036789,0.1544646,1.660835,0.7524912,0.1864623,2.3656075,0.6235169,0.2598609,0.862815,0.7000731,0.0886899,1.7868825,0.7413647,0.2540274,2.476825,0.7510702,0.02059665,2.1211575,0.6726653,0.0350643,1.824955,0.33537261,0.1785906,1,0.637835639528944,NA,NA,0.0954037109967302,NA,NA,0.0954037109967302,0.0456898774898228,0,1766573.09129406,0.0274185,64202232.1050987,1e-04,0,0.082273006439209,51.4743928909302,"1_478_1",1,478,1,478,TRUE,TRUE,1,0.1123075721003,2,FALSE
"7",1.633215,0.8090029,0.1135878,0.509895325,0.6036789,0.1544646,2.06325,0.8440652,0.1199451,1.510145,0.7292043,0.2716599,0.6346505,0.7664317,0.0347415,1.7868825,0.7413647,0.2540274,2.476825,0.7510702,0.02059665,2.1211575,0.6726653,0.0350643,1.824955,0.33537261,0.1785906,1,0.637418421648193,NA,NA,0.0954586483143464,NA,NA,0.0954586483143464,0.0489603346993672,0,1766573.09129406,0.0274185,64202232.1050987,1e-04,0,0.0920934677124023,54.5890264511108,"1_508_1",1,508,1,508,TRUE,TRUE,2,0.11254094774164,2,FALSE
"8",1.633215,0.8090029,0.1135878,0.509895325,0.6036789,0.1374123,1.9553725,0.642391,0.0820716,1.1908475,0.7014346,0.2598609,0.862815,0.7000731,0.0886899,1.7868825,0.7413647,0.2540274,2.476825,0.7510702,0.02059665,2.1211575,0.6726653,0.0350643,1.824955,0.33537261,0.1785906,1,0.637267806290961,NA,NA,0.0954784728814066,NA,NA,0.0954784728814066,0.0526709824459017,0,1766573.09129406,0.0274185,64202232.1050987,1e-04,0,0.0816287994384766,57.7420823574066,"1_538_1",1,538,1,538,TRUE,TRUE,3,0.112669581983233,2,FALSE
"9",2.489695,0.7457348,0.1391901,0.8621475,0.3889868,0.0365052,1.83473,0.665351,0.2269902,2.6288375,0.6193974,0.1415349,1.1392825,0.4105083,0.268224,2.0870725,0.4278445,0.2794074,2.655395,0.7106032,0.1190808,2.9266275,0.7319721,0.00538236,1.6263325,0.4584233,0.1075131,1,0.427650050549407,NA,NA,0.119934253776265,NA,NA,0.119934253776265,0.0247411437810302,0,4606448.15858146,0.0716562,64202232.1050987,1e-04,0,0.0798261165618896,58.2504479885101,"1_543_1",1,543,1,543,TRUE,TRUE,1,0.195529211301926,4,FALSE
"10",1.633215,0.8090029,0.1135878,0.509895325,0.6036789,0.1544646,1.660835,0.7524912,0.1864623,2.97838,0.9977117,0.1415442,1.4598975,0.6244654,0.1105749,1.75776,0.7233439,0.2692788,2.476825,0.7510702,0.02059665,2.1211575,0.6726653,0.0350643,1.824955,0.33537261,0.1785906,1,0.637098546413795,NA,NA,0.095500746600239,NA,NA,0.095500746600239,0.0429617537163197,0,1766573.09129406,0.0274185,64202232.1050987,1e-04,0,0.0850789546966553,61.533066034317,"1_568_1",1,568,1,568,TRUE,TRUE,1,0.112602999687593,2,FALSE
